0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
18763512	BarBerry	1	Pune	121/122, Rambaug Colony, Next lane of MIT COLLEGE, Opposite Kheliya Shop, Paud road, Kothrud, Pune	Kothrud	Kothrud, Pune	0.0000000000	0.0000000000	North Indian, Italian, Finger Food	1200	Rs.	0	0	0	0	3	4.7	3F7E00	Excellent	680
18528478	La Gustosa	1	Pune	Survey 1/3 4, Behind Karve Putla, Shivaji Putla Road, Beside DNS Bank, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8146814331	18.5020950646	Italian	1200	Rs.	0	0	0	0	3	4.5	3F7E00	Excellent	1484
12552	Chandra Cafe	1	Pune	Paud Road, Near Krishna Hospital, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8114691526	18.5091641387	Chinese, Fast Food, North Indian, Rolls	450	Rs.	0	1	0	0	1	3.9	9ACD32	Good	1054
6507794	Wood Fire Grill	1	Pune	Plot 108, Rambaug Colony, Off MIT Road, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8147830218	18.5121097651	Healthy Food, Continental, Seafood, North Indian, Chinese, Salad, BBQ, Kebab	1000	Rs.	0	1	0	0	3	3.8	9ACD32	Good	1445
18397717	24foods.in	1	Pune	Kothrud, Pune	Kothrud	Kothrud, Pune	73.8037779182	18.5072924554	Fast Food, Burger	300	Rs.	0	1	0	0	1	4.0	5BA829	Very Good	887
18465886	Adda	1	Pune	4th Floor, Ravat Furniture, Paud Road, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8186370209	18.5108192913	Bar Food, Finger Food, Street Food, Kebab, North Indian, Continental, Asian, Seafood	1500	Rs.	0	1	0	0	3	4.2	5BA829	Very Good	759
18552811	Punjab Canteen	1	Pune	E1, Kumar Parisar, Near Gandhi Bhavan, Near Mahatma Society, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8022229075	18.4963153376	North Indian	700	Rs.	0	1	0	0	2	4.1	5BA829	Very Good	748
11321	Pruthvi Vegetarianism	1	Pune	Nyati Elegance, Happy Colony, Lane 4, Kothrud, Pune	Kothrud	Kothrud, Pune	73.8134593517	18.4945458970	North Indian, Chinese, Fast Food, Juices	500	Rs.	0	0	0	0	2	4.0	5BA829	Very Good	779
18532162	Paddy's Cafe	1	Pune	128/2, Mayur Colony, Karve Road, Behind Jog School, near club Solaris ,Kothrud, Pune	Kothrud	Kothrud, Pune	73.8196928054	18.5060680766	Cafe, Desserts, Italian, Bakery	950	Rs.	1	1	0	0	2	4.3	5BA829	Very Good	931
18516536	Indian N Spice	1	Pune	Beside DSK, Dream City, Loni Kalbhor, Pune-Solapur Road, Pune	Pune-Solapur Road	Pune-Solapur Road, Pune	73.9980543405	18.4921827990	Continental, North Indian, Chinese, Fast Food	600	Rs.	0	0	0	0	2	3.6	9ACD32	Good	60
